Iter = 87, 瞷︽秆cost = 112341.95, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 88, 瞷︽秆cost = 112306.06, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 89, 瞷︽秆cost = 112300.59, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 90, 瞷︽秆cost = 112290.50, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 91, 瞷︽秆cost = 112311.82, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 92, 瞷︽秆cost = 112327.92, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 93, 瞷︽秆cost = 112316.35, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 94, 瞷︽秆cost = 112290.78, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 95, 瞷︽秆cost = 112281.04, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 96, 瞷︽秆cost = 112272.36, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 97, 瞷︽秆cost = 112268.27, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 98, 瞷︽秆cost = 112350.05, ó进计 = 11, 繦诀家览Ω计 = 2, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 99, 瞷︽秆cost = 112386.58, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
Iter = 100, 瞷︽秆cost = 112425.48, ó进计 = 11, 繦诀家览Ω计 = 0, 程ㄎ秆Θセ = 0.00, 办秆Θセ = 112253.86
